"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","colocated","queryTime"
"1","USGS","02358795","JACKSON BLUE SPRING NR MARIANNA, FL","SP",30.79046943,-85.1407611,FALSE,2019-11-06 22:17:53
"2","USGS","02326526","WACISSA RIVER NR WACISSA FLA","ST",30.3013159,-83.9796085,FALSE,2019-11-06 22:17:53
"3","USGS","02319302","MADISON BLUE SPRING NR BLUE SPRINGS, FL","SP",30.48049106,-83.2443097,FALSE,2019-11-06 22:17:53
"4","USGS","02319950","BLUE SPRINGS NEAR DELL,FL","SP",30.126055,-83.2259712,FALSE,2019-11-06 22:17:53
"5","USGS","02323566","MANATEE SPRING NR CHIEFLAND FLA","SP",29.4896808,-82.976791,FALSE,2019-11-06 22:17:53
"6","USGS","02323502","FANNING SPRINGS NR WILCOX FLA","SP",29.5891247,-82.9331797,FALSE,2019-11-06 22:17:53
"7","USGS","02322688","BLUE HOLE SPRING NR HILDRETH, FL","SP",29.9799552,-82.758457,FALSE,2019-11-06 22:17:53
"8","USGS","02292900","CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA","ST",26.72173487,-81.69313699,FALSE,2019-11-06 22:17:53
